Feature Map,Entanglement,Bandwidth,Noisy Backend,Qubits,CNOT Count,Target Alignment,Spectral Variance,Condition Number,Test F1,Test AUC
ZZ,linear,0.5,False,8,28,0.2472861830408182,0.003863888998309522,1173.209133361859,0.9937106918238994,1.0
ZZ,linear,0.5,True,8,28,0.2472861830408182,0.003863888998309522,1173.209133361859,0.9937106918238994,1.0
ZZ,linear,1.0,False,8,28,0.10934627050184584,0.000569072476548772,59.98265235598896,0.9342105263157895,0.985625
ZZ,linear,1.0,True,8,28,0.10934627050184584,0.000569072476548772,59.98265235598896,0.9342105263157895,0.985625
ZZ,linear,2.0,False,8,28,0.11783042975123659,0.00047506576264180387,63.97216872286676,0.8175182481751825,0.91296875
ZZ,linear,2.0,True,8,28,0.11783042975123659,0.00047506576264180387,63.97216872286676,0.8175182481751825,0.91296875
ZZ,full,0.5,False,8,112,0.2235638543176064,0.0007911539902146101,103.83542290247924,0.9937106918238994,1.0
ZZ,full,0.5,True,8,112,0.2235638543176064,0.0007911539902146101,103.83542290247924,0.9937106918238994,1.0
ZZ,full,1.0,False,8,112,0.14971425032296132,0.0002919212050894046,26.71717037282346,0.9873417721518988,0.9981249999999999
ZZ,full,1.0,True,8,112,0.14971425032296132,0.0002919212050894046,26.71717037282346,0.9873417721518988,0.9981249999999999
ZZ,full,2.0,False,8,112,0.24944430051219718,0.0005772826123027523,73.80034612028992,0.9875,0.9987500000000001
ZZ,full,2.0,True,8,112,0.24944430051219718,0.0005772826123027523,73.80034612028992,0.9875,0.9987500000000001
CPMap,linear,0.5,False,5,48,0.1191168632430363,0.01022168643481419,478869351889.1329,1.0,1.0
CPMap,linear,0.5,True,5,48,0.1191168632430363,0.01022168643481419,478869351889.1329,1.0,1.0
CPMap,linear,1.0,False,5,48,0.2524058290886444,0.04389831263417885,399899525.0509805,1.0,1.0
CPMap,linear,1.0,True,5,48,0.2524058290886444,0.04389831263417885,399899525.0509805,1.0,1.0
CPMap,linear,2.0,False,5,48,0.412685765474743,0.019660888973339726,271536.8620553464,0.9937106918238994,1.0
CPMap,linear,2.0,True,5,48,0.412685765474743,0.019660888973339726,271536.8620553464,0.9937106918238994,1.0
